anime_title,release_year,rating,voice_actors,age,dob,characters,c_age
Attack On Titans,2013,98,Mamoru Miyano,27,1994,"Eren Jaeger,Amin Arlet, Mikasa",18
Naruto,2002,94,Yuki Kaji,32,1989,Naruto Uzumaki,28
One punch man,2015,95,Hinoshi Kamaya,76,1945,Saitama,28
Pokemon,1996,80,Daisuke Ono,59,1962,Ash Ketchum,18
Demon Slayer,2019,85,Jun Fukuyama,26,1995,Tanjiro Kamado,19
One piece,1999,86,Kana Hanazawa,87,1934,Moukey D Luffy,20
Death note,2006,78,Rio Kugimaya,34,1987,"Ryuk,Light Yagami",17
Beastars,2019,80,Saori Hayami,23,1998,"Legoshi, Tem",15
Kuroko's Basketball,2012,90,Miyuki Sawashiro,28,1993,"Kuroko, Kagame",30
Soul Eater,2008,70,Natsuki Hanae,41,1980,"Tsubaki,Maka Albarn",12
Assassination classroom,2015,87,Rio Kugimaya,34,1987,"Monokuma,Koro-Sensei",19
My Hero  Academia,2016,90,Saori Hayami,23,1998,Izuku Midoriya,14
Cardcaptor Sakura,1998,70,Miyuki Sawashiro,28,1993,Sakura Kinomoto,13
Dragon Ball,1989,78,Yuki Kaji,32,1989,"Gokuu Son, Bulma",15
Tokyo Ghoul,2014,60,Kana Hanazawa,87,1934,Ken Kaneki,16
Inuyasha,2000,70,Daisuke Ono,59,1962,Kagome Higurashi,18
Sailor Moon,2992,78,Mamoru Miyano,27,1994,Usagi Tsukino,19
Fairy Tail,2009,70,Jun Fukuyama,26,1995,"Lucy,HeartFilia",12
Citrus,2018,90,Hinoshi Kamaya,76,1945,Yuza Aihara,12
Blue exorcist,2011,88,Rio Kugimaya,34,1987,Rin,18
Kakegurui,2017,90,Yuki Kaji,32,1989,"Yumeko Jabami, Mary Saitome",20
Avatar,2009,99,Natsuki Hanae,41,1980,"Aang,Katana,Sokka",100
Legend Of Korra,2012,87,Kana Hanazawa,87,1934,Korra,25
Arcane,2021,76,Daisuke Ono,59,1962,"Vi, Powder",16
Jujutsu Kaisen,2020,80,Saori Hayami,23,1998,Yuji Itadori,18
